"title","minutes","year","genre"
"Toy Story",81,1995,"animation"
"A Bug's Life",95,1998,"animation"
"Toy Story 2",92,1999,"animation"
"Monsters, Inc.",92,2001,"animation"
"Finding Nemo",100,2003,"animation"
"The Incredibles",115,2004,"action"
"Cars",117,2006,"sport"
"Ratatouille",111,2007,"animation"
"WALL-E",98,2008,"animation"
"Up",96,2009,"animation"
"Toy Story 3",103,2010,"drama"
"Cars 2",106,2011,"animation"
"Brave",93,2012,"animation"
"Monsters University",104,2013,"animation"
"Inside Out",95,2015,"animation"
"The Good Dinosaur",93,2015,"animation"
"Finding Dory",97,2016,"animation"
"Cars 3",102,2017,"animation"
"Coco",105,2017,"music"
"Incredibles 2",118,2018,"animation"
"Toy Story 4",100,2019,"animation"
"Onward",102,2020,"animation"
"Soul",100,2020,"animation"
"Luca",151,2021,"animation"
"Remember the Titans",113,2000,"Sports"
"Miracle",135,2004,"Sports"
"Million Dollar Baby",132,2004,"Sports"
"The Fighter",116,2010,"Sports"
"Moneyball",133,2011,"Sports"
"Rush",123,2013,"Sports"
"Creed",133,2015,"Sports"
"I, Tonya",120,2017,"Sports"
"Ford v Ferrari",152,2019,"Sports"
"The Way Back",108,2020,"Sports"
"Coach Carter",136,2005,"Sports"
"The Blind Side",129,2009,"Sports"
"Warrior",140,2011,"Sports"
"Race",134,2016,"Sports"
"Eddie the Eagle",106,2016,"Sports"
"The Wrestler",109,2008,"Sports"
"42",128,2013,"Sports"
"The Greatest Game Ever Played",120,2005,"Sports"
"The Replacements",118,2000,"Sports"
"Soul Surfer",112,2011,"Sports"
